I'm not sure, but I know that Dylan's Candy Bar is a chain of boutique shops and candy supplier.		I don't know how good they are, but Dylan's Candy Bar has a chain of candy shops in various cities.		Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.
I don't know, but they're located in New York City, East Hampton, Los Angeles, Chicago, and Miami Beach.		I don't know, really, but they also are a supplier of candy.		Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.
I'm not sure, but they have 7,000 candies from around the world.		It stocks over 7,000 candies from across the world.		It stocks 7,000 candies from around the world.
No, I'm a bot. I do know that Dylan Lauren owns it.		I couldn't really say, but they're owned by the daughter of Ralph Lauren, Dylan Lauren.		It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.
Interesting, did you know that athletes in ancient Greece were advised to consume large amounts of meat and wine?		What about consuming meat before your workout? In ancient Greece, athletes were told to consume a lot of meat and wine		Athletes in ancient Greece were advised to consume large quantities of meat and wine.
I see, did you know that herbal concoctions and tonics have been used by athletes and strong men since ancient times?		Do you eat meat to increase your strength and stamina ? Athletes have used a number of tonics and concoctions to try to increase stamina and strength		A number of herbal concoctions and tonics have been used by strong men and athletes since ancient times across cultures to try to increase their strength and stamina.
I see, did you know Eugen Sandow was the first modern bodybuilder in the West?		Speaking of bodybuilders, did you know that the first modern bodybuilder is widely considered to be Eugen Sandow?		In the 1910s, Eugen Sandow, widely considered to be the first modern bodybuilder in the West, advocated the use of dietary control to enhance muscle growth.
I am not sure, but I know that Earle Liederman advocated using "beef juice" or "beef extract" as a way to enhance muscle recovery		Well, I can tell you about Earle Liederman, who advocated the use of beef extract t enhance muscle recovery		Later, bodybuilder Earle Liederman advocated the use of ''beef juice'' or ''beef extract'' (basically, consomme) as a way to enhance muscle recovery.
Well, I know that in the 1950s Irvin P. Johnson began to market egg-based protein powders		Speaking of protein, did you know that egg-based protein powders began to be popularized by Irvin P. Johnson in the 1950s		In 1950s with recreational and competitive bodybuilding becoming increasingly popular Irvin P. Johnson began to popularize and market egg-based protein powders marketed specifically at bodybuilders and physical athletes.
Cool! It is the color between yellow and blue on the visible spectrum.		Well, that's cool. It is between yellow and blue on the visible spectrum.		Green is the color between blue and yellow on the visible spectrum.
I see, did you know it is evoked by light with a dominant wavelength of 495570 nm?		The dominant wavelength of green is around 495570 nm.		It is evoked by light which has a dominant wavelength of roughly 495570 nm.
Interesting, did you know that many creatures have adapted to green environments by taking on a green hue themselves as camouflage?		Many creatures have adapted to their green environments by using green to blend in.		Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.
Green was also the color commonly associated with merchants, bankers and the gentry.		Thanks for the information. Did you know that in the Middle Ages and in the Renaissance, green was associated with bankers and merchants?		In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.
I see. The biggest contributor to green is chlorophyll.		By far, though, the largest contributor to green in nature is chlorophyl.		By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.
I see. The first match of American football was played in 1869.		And to just think; the first match of American football was played on November 6, 1869!		The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.
The first match of American football was played between two college teams, Rutgers and Princeton.		The first match was between Rutgers and Princeton.		The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.
That's interesting. The first match of American football was between Rutgers and Princeton.		They were college teams then too.		The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.
It's been around for a long time. The American football sports originated in the US.		I don't know. I do know that the sport evolved from rugby and association football.		American football evolved in the United States, originating from the sports of association football and rugby football.
I see. Rugby league is played across England but most popular in Northern England.		Rugby is very popular in Northern England.		Rugby league is played across England but is most popular in Northern England, especially Yorkshire and Lancashire where the game originated.
I'm a bot so I don't play video games. What I know is that game design is applied to create a game for entertainment or for educational, exercise, or experimental purposes.		I don't play any, but I do know about game design. It involves applying aesthetics and design to create a game.		Game Design is the art of applying design and aesthetics to create a game for entertainment or for educational, exercise, or experimental purposes.
Interesting, did you know that game design principles and elements are applied to other interactions, like virtual ones?		Nice, did you know that elements of game design can also be applied to other interactions?		Increasingly, elements and principles of game design are also applied to other interactions, particularly virtual ones (see gamification).
I see. I also know that game design can create goals, rules and challenges.		From what I heard Game design creates goals, rules and challenges to define a board game.		Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.
I see. Did you know that game design is part of game studies?		Well, Academically, game design is part of game studies		Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).
I haven't, but I know that they've sold over 100 million records around the world.		I do know some facts about them, for example, Guns N' Roses has 6 studio albums and has sold more than 100 million records around the globe.		Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.
I see, have you heard of their twin albums? They are titled Use Your Illusion I and II.		Have you heard about their twin albums debuted at 1991? They have sold 35 million copies combined.		The twin albums ''Use Your Illusion I'' and ''Use Your Illusion II'' (1991) debuted at number two and number one on the ''Billboard'' 200 respectively and have sold a combined 35 million copies worldwide, including 14 million units in the United States.
I see, did you know their debut album reached number one on the Billboard 200 a year after its release?		Awesome. Did you hear that ''Sweet Child o' Mine'' is the band's only single to reach number one on the ''Billboard'' Hot 100?		Guns N' Roses' debut album, ''Appetite for Destruction'' (1987), reached number one on the ''Billboard'' 200 a year after its release, on the strength of ''Sweet Child o' Mine'', the band's only single to reach number one on the ''Billboard'' Hot 100.
Yes, it was rereleased in 1989 and reached number six on the UK Singles Chart.		When rereleased, in 1989, it reached number six on the UK Singles Chart.		Rereleased in 1989, it reached number six on the UK Singles Chart.
I know that a more modern version of the garment has no buttons and hangs open by design.		One thing I know is that there is a modern version that doesn't have any buttons.		A more modern version of the garment has no buttons and hangs open by design.
I don't know about the old version, but I know that cardigans have an open front.		I don't really know, but it's a knitted sweater with an open front.		A cardigan is a type of knitted garment (sweater) that has an open front.
Coco Chanel is credited with popularizing cardigans for women because she hated how tight-necked men's sweaters messed up her hair when she pulled them over her head.		I know that Coco Chanel is credited with popularizing cardigans for women.		Coco Chanel is credited with popularizing cardigans for women because ''she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.''
Yes, she was the founder and nameake of the Chanel brand.		Yes, of course, she is the founder and namesake of the Chanel brand!		She was the founder and namesake of the Chanel brand.
I'm a bot, so I don't have any interest in medical science. But I know that paramedics work in the pre-hospital and out-of-hospital environment.		No, are you interested in working in a pre-hospital or out-of-hospital environment, since that is where paramedics are mainly.		A paramedic is a healthcare professional, predominantly in the pre-hospital and out-of-hospital environment, and working mainly as part of emergency medical services (EMS), such as on an ambulance.
I'm not sure, but paramedics work mainly on emergency medical services like an ambulance.		Yes, they are mostly a part of the emergency medical services like with an ambulance.		A paramedic is a healthcare professional, predominantly in the pre-hospital and out-of-hospital environment, and working mainly as part of emergency medical services (EMS), such as on an ambulance.
I don't know, but the scope of practice of paramedics can vary a lot between countries.		Well, while the scope of their practice vary from country to country, they typically have to make autonomous decisions on the emergency care of a patient.		The scope of practice of a paramedic will vary between countries, but generally includes autonomous decision making around the emergency care of patients.
Well, the paramedic role is closely related to other healthcare positions, especially the emergency medical technician role.		I can't say although have you heard of an emergency medical technician? Paramedics are a higher role than them with more autonomy as well as responsibility.		The paramedic role is closely related to other healthcare positions, especially the emergency medical technician role, with paramedics often being a higher grade role, with more responsibility and autonomy.
I don't have a preference, but I know that a typical online store allows customers to browse the firm's range of products and services.		I am a bot so I actually can't do that, what about you? Do you like to browse the products and services of online stores ?		A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices.
I see, did you know that online shopping is a form of electronic commerce?		I have never heard about this information about clothing before, what I do know is that you can buy products from the online seller using a web browser.		Online shopping is a form of electronic commerce which allows consumers to directly buy goods or services from a seller over the Internet using a web browser.
I see, did you know that Google Chrome is a freeware web browser?		If you say so, I believe, one more question, do you use the web browser Google Chrome to shop online?		Google Chrome is a freeware web browser developed by Google.
I see, did you know that online shopping is a form of electronic commerce?		So, what do you like to directly buy from sellers over the internet using the web browser google chrome?		Online shopping is a form of electronic commerce which allows consumers to directly buy goods or services from a seller over the Internet using a web browser.
I see, I know that some retailers open very early, as early as overnight hours, and offer promotional sales.		Not even when the retailers open very early and offer promotional sales ?		Most major retailers open very early, as early as overnight hours, and offer promotional sales.
Well, I know that heartbreak can be cross-cultural, and can be cited with reference to lost or desired lovers.		I'm unable to solve that but you may be curious to know that it has 3000 years of history.		The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years.
I don't know about the symptoms but emotional pain can cause a "broken heart syndrome".		Well its mostly a heavy feeling but in some rare cases it can cause physical damage to the heart.		Emotional pain that is severe can cause 'broken heart syndrome', including physical damage to the heart.
I don't know but the emotional pain of a broken heart is believed to be part of the survival instinct.		I don't know if it is serious or not but the pain is believed to be related to survival instinct.		The emotional ''pain'' of a broken heart is believed to be part of the survival instinct.
I don't know how long it takes but it's believed to be universal.		That's a mystery to me but a broken heart is an universal concept.		The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.
Yes, it is thought to involve the brain's anterior cingulate cortex. That can overstimulate the vagus nerve.		Well, overstimulation from heartache may cause nausea or pain or muscle tightness in your chest but I don't know about depression.		The neurological process involved in the perception of heartache is not known, but is thought to involve the anterior cingulate cortex of the brain, which during stress may overstimulate the vagus nerve causing pain, nausea or muscle tightness in the chest.
I can't say, but he was an American singer, musician, and actor.		I'm a bot, so I can't really love anything. I do know that he was born in 1935.		Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.
